"NLA_ID","BufWidthM","Pop","PopDensityKm2","BufferAreaKm2","BufferAreaKm2Adj","PercentNA","BufType"
"NLA06608-3414",1000,1102,54.51,20.218,20.218,0,"fixed"
"NLA06608-3414",2500,4135,71.83,57.565,57.565,0,"fixed"
"NLA06608-3414",1289,1691,63.96,26.438,26.438,0,"radius"
"NLA06608-1110",300,0,0,0.627,0.627,0,"fixed"
"NLA06608-1110",1000,0,0,4.256,4.256,0,"fixed"
"NLA06608-1110",2500,0,0,22.228,22.228,0,"fixed"
"NLA06608-1110",175,0,0,0.295,0.295,0,"radius"
"NLA06608-3606",300,0,0,0.832,0.832,0,"fixed"
"NLA06608-3606",1000,0,0,4.913,4.913,0,"fixed"
"NLA06608-3606",2500,0,0,23.852,23.852,0,"fixed"
"NLA06608-3606",231,0,0,0.59,0.59,0,"radius"
"NLA06608-3734",300,0,0,1.391,1.391,0,"fixed"
"NLA06608-3734",1000,0,0,6.781,6.781,0,"fixed"
"NLA06608-3734",2500,0,0,28.521,28.521,0,"fixed"
"NLA06608-3734",430,0,0,2.16,2.16,0,"radius"
"NLA06608-1937",300,0,0,1.872,1.872,0,"fixed"
"NLA06608-1937",1000,0,0,8.261,8.261,0,"fixed"
"NLA06608-1937",2500,0,0,31.869,31.869,0,"fixed"
"NLA06608-1937",473,0,0,3.185,3.185,0,"radius"
"NLA06608-NELP-3586",300,0,0,1.661,1.661,0,"fixed"
"NLA06608-NELP-3586",1000,0,0,7.596,7.596,0,"fixed"
"NLA06608-NELP-3586",2500,0,0,30.488,30.488,0,"fixed"
"NLA06608-NELP-3586",528,0,0,3.265,3.265,0,"radius"
"NLA06608-EMAP:ME011L",300,0,0,1.243,1.243,0,"fixed"
"NLA06608-EMAP:ME011L",1000,0,0,6.231,6.231,0,"fixed"
"NLA06608-EMAP:ME011L",2500,0,0,27.067,27.067,0,"fixed"
"NLA06608-EMAP:ME011L",371,0,0,1.614,1.614,0,"radius"
"NLA06608-1681",300,0,0,2.102,2.102,0,"fixed"
"NLA06608-1681",1000,0,0,8.843,8.843,0,"fixed"
"NLA06608-1681",2500,0,0,33.366,33.366,0,"fixed"
"NLA06608-1681",554,0,0,4.215,4.215,0,"radius"
"NLA06608-2517",300,12,18.87,0.636,0.636,0,"fixed"
"NLA06608-2517",1000,77,18.05,4.265,4.265,0,"fixed"
"NLA06608-2517",2500,279,12.55,22.235,22.235,0,"fixed"
"NLA06608-2517",153,5,19.61,0.255,0.255,0,"radius"
"NLA06608-2758",300,72,117.07,0.615,0.615,0,"fixed"
"NLA06608-2758",1000,1469,350.68,4.189,4.189,0,"fixed"
"NLA06608-2758",2500,7834,355.65,22.027,22.027,0,"fixed"
"NLA06608-2758",154,25,100.81,0.248,0.248,0,"radius"
"NLA06608-2850",300,621,228.56,2.717,2.717,0,"fixed"
"NLA06608-2850",1000,1444,144.34,10.004,10.004,0,"fixed"
"NLA06608-2850",2500,4953,140.01,35.376,35.376,0,"fixed"
"NLA06608-2850",662,1042,169.49,6.148,6.148,0,"radius"
"NLA06608-3186",300,492,415.54,1.184,1.184,0,"fixed"
"NLA06608-3186",1000,3331,557.4,5.976,5.976,0,"fixed"
"NLA06608-3186",2500,11794,447.59,26.35,26.35,0,"fixed"
"NLA06608-3186",212,268,340.1,0.788,0.788,0,"radius"
"NLA06608-4471",300,1916,242.99,7.885,7.885,0,"fixed"
"NLA06608-4471",1000,5594,255.83,21.866,21.866,0,"fixed"
"NLA06608-4471",2500,14558,240.6,60.508,60.508,0,"fixed"
"NLA06608-4471",1391,8339,271.91,30.668,30.668,0,"radius"
"NLA06608-0370",300,20,26.35,0.759,0.759,0,"fixed"
"NLA06608-0370",1000,132,28.51,4.63,4.63,0,"fixed"
"NLA06608-0370",2500,1809,78.34,23.092,23.092,0,"fixed"
"NLA06608-0370",183,10,24.88,0.402,0.402,0,"radius"
"NLA06608-NELP-4896",300,5,3.51,1.423,1.423,0,"fixed"
"NLA06608-3846",300,5,3.51,1.423,1.423,0,"fixed"
"NLA06608-NELP-4896",1000,136,20.31,6.697,6.697,0,"fixed"
"NLA06608-3846",1000,136,20.31,6.697,6.697,0,"fixed"
"NLA06608-NELP-4896",2500,1641,58.39,28.102,28.102,0,"fixed"
"NLA06608-3846",2500,1641,58.39,28.102,28.102,0,"fixed"
"NLA06608-NELP-4896",348,6,3.56,1.685,1.685,0,"radius"
"NLA06608-3846",348,6,3.56,1.685,1.685,0,"radius"
"NLA06608-0070",300,15,15.87,0.945,0.945,0,"fixed"
"NLA06608-0070",1000,129,25.24,5.11,5.11,0,"fixed"
"NLA06608-0070",2500,1177,48.51,24.263,24.263,0,"fixed"
"NLA06608-0070",214,10,15.77,0.634,0.634,0,"radius"
"NLA06608-3590",300,221,50.58,4.369,4.369,0,"fixed"
"NLA06608-3590",1000,861,58.85,14.63,14.63,0,"fixed"
"NLA06608-3590",2500,3088,66.85,46.193,46.193,0,"fixed"
"NLA06608-3590",967,825,58.56,14.089,14.089,0,"radius"
"NLA06608-0774",300,16,18.76,0.853,0.853,0,"fixed"
"NLA06608-0774",1000,276,55.38,4.984,4.984,0,"fixed"
"NLA06608-0774",2500,1685,70.17,24.014,24.014,0,"fixed"
"NLA06608-0774",204,10,19.16,0.522,0.522,0,"radius"
"NLA06608-1798",300,12,12.94,0.927,0.927,0,"fixed"
